User,Tweets Ago,Date,Compound,Positive,Negative,Neutral,Tweet Text
BBCNews,48,Sun Nov 05 18:25:40 +0000 2017,-0.0772,0.116,0.181,0.704,"RT @BBCBreaking: Huge #ParadisePapers investigation:

• Tax affairs of 100+ public figures exposed
• 13.4m documents leaked

Latest: https:…"
BBCNews,49,Sun Nov 05 18:21:31 +0000 2017,-0.1027,0.0,0.076,0.924,Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #ParadisePapers
BBCNews,50,Sun Nov 05 18:13:34 +0000 2017,-0.5267,0.0,0.274,0.726,BT Openreach van effigy set alight by frustrated villagers https://t.co/7fW5yZh9qC
BBCNews,51,Sun Nov 05 18:04:14 +0000 2017,0.5994,0.336,0.104,0.56,Paradise Papers: Tax haven secrets of ultra-rich exposed https://t.co/0P5jsNGLGv
BBCNews,52,Sun Nov 05 17:57:40 +0000 2017,0.0,0.0,0.0,1.0,Police officers mown down in Wolverhampton hit-and-run https://t.co/N00C0Ej4zH
BBCNews,53,Sun Nov 05 17:27:19 +0000 2017,0.781,0.272,0.0,0.728,RT @BBCPanorama: Don't miss our latest investigation into the hidden offshore world of the rich &amp; powerful - coming up at 6pm on @BBCOne. h…
BBCNews,54,Sun Nov 05 16:33:05 +0000 2017,0.0,0.0,0.0,1.0,RT @BBCWorld: The evolving world of emojis 👍🏻 https://t.co/v3WaJfqvik
BBCNews,55,Sun Nov 05 16:19:28 +0000 2017,0.3612,0.238,0.0,0.762,Corbyn defends promoting MP Kelvin Hopkins despite reprimand https://t.co/vtNIWa9RPp
BBCNews,56,Sun Nov 05 16:13:11 +0000 2017,0.128,0.176,0.0,0.824,BBC extends Met Office weather forecast contract https://t.co/BX2C9rztf1
BBCNews,57,Sun Nov 05 16:07:40 +0000 2017,0.802,0.301,0.0,0.699,"RT @BBCSport: FT Man City 3-1 Arsenal 

Another game, another win for #MCFC.

They're currently EIGHT points clear at the top.

https://t.c…"
BBCNews,58,Sun Nov 05 15:57:52 +0000 2017,-0.7717,0.0,0.427,0.573,Desert Island Discs: Hillsborough activist Phil Scraton 'had death threats' https://t.co/pwQjryK3eZ
